83 None None None None None None None None None None None None 15 
229 None None None None None None None None None None None None 54 
205 None None None None None None None None None None None None 18 
85 None None None None None None None None None None None None 32 
90 None None None None None None None None None None None None 15 
116 None None None None None None None None None None None None 33 
42 None None None None None None None None None None None None 13 
237 None None None None None None None None None None None None 24 
176 None None None None None None None None None None None None 38 
129 None None None None None None None None None None None None 13 
157 None None None None None None None None None None None None 8 
115 None None None None None None None None None None None None 23 
138 None None None None None None None None None None None None 15 
144 None None None None None None None None None None None None 26 
224 None None None None None None None None None None None None 35 
155 None None None None None None None None None None None None 24 
184 None None None None None None None None None None None None 13 
46 None None None None None None None None None None None None 4 
243 None None None None None None None None None None None None 40 
232 None None None None None None None None None None None None 28 
114 None None None None None None None None None None None None 2 
173 None None None None None None None None None None None None 29 
192 None None None None None None None None None None None None 76 
110 None None None None None None None None None None None None 8 
151 None None None None None None None None None None None None 13 
35 None None None None None None None None None None None None 4 
110 None None None None None None None None None None None None 22 
154 None None None None None None None None None None None None 18 
107 None None None None None None None None None None None None 60 
102 None None None None None None None None None None None None 7 
55 None None None None None None None None None None None None 11 
160 None None None None None None None None None None None None 12 
78 None None None None None None None None None None None None 18 
132 None None None None None None None None None None None None 11 
217 None None None None None None None None None None None None 13 
152 None None None None None None None None None None None None 13 
155 None None None None None None None None None None None None 35 
27 None None None None None None None None None None None None 13 
182 None None None None None None None None None None None None 19 
103 None None None None None None None None None None None None 8 
118 None None None None None None None None None None None None 11 
119 None None None None None None None None None None None None 13 
52 None None None None None None None None None None None None 8 
221 None None None None None None None None None None None None 4 
203 None None None None None None None None None None None None 10 
233 None None None None None None None None None None None None 17 
200 None None None None None None None None None None None None 25 
190 None None None None None None None None None None None None 23 
14 None None None None None None None None None None None None 2 
154 None None None None None None None None None None None None 49 
47 None None None None None None None None None None None None 9 
41 None None None None None None None None None None None None 19 
80 None None None None None None None None None None None None 12 
77 None None None None None None None None None None None None 21 
193 None None None None None None None None None None None None 34 
187 None None None None None None None None None None None None 33 
123 None None None None None None None None None None None None 16 
50 None None None None None None None None None None None None 17 
175 None None None None None None None None None None None None 11 
91 None None None None None None None None None None None None 8 
87 None None None None None None None None None None None None 6 
178 None None None None None None None None None None None None 19 
56 None None None None None None None None None None None None 6 
